2014-03-05 14:15:11 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 84]
2014-03-05 14:15:12 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 84]
2014-03-05 14:15:35 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:15:35 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:15:35 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:15:36 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:13 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 36]
2014-03-05 14:16:13 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 36]
2014-03-05 14:16:13 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:13 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 36]
2014-03-05 14:16:13 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:14 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 36]
2014-03-05 14:16:14 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:15 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 36]
2014-03-05 14:16:15 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:28 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 37]
2014-03-05 14:16:29 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 37]
2014-03-05 14:16:29 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:29 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 37]
2014-03-05 14:16:29 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:29 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 37]
2014-03-05 14:16:29 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:29 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 37]
2014-03-05 14:16:29 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:38 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 39]
2014-03-05 14:16:39 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 39]
2014-03-05 14:16:39 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:39 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 39]
2014-03-05 14:16:39 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:39 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 39]
2014-03-05 14:16:39 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:40 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 39]
2014-03-05 14:16:40 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:52 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 41]
2014-03-05 14:16:53 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 41]
2014-03-05 14:16:53 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:55 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 41]
2014-03-05 14:16:55 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:55 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 41]
2014-03-05 14:16:55 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:16:56 Notice: Notice (8): Undefined variable: insert in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 41]
2014-03-05 14:16:56 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 73]
2014-03-05 14:17:13 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 74]
2014-03-05 14:17:13 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 74]
2014-03-05 14:17:14 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 74]
2014-03-05 14:17:15 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 74]
